species,country_distribution,region_distribution
Epactionotus yasi,ARG,Latin America & Caribbean
Epapterus dispilurus,ARG,Latin America & Caribbean
Epicyrtus microlepis,ARG,Latin America & Caribbean
Euanemus nigripinnis,ARG,Latin America & Caribbean
Eurycheilus pantherinus,ARG,Latin America & Caribbean
Farlowella azpelicuetae,ARG,Latin America & Caribbean
Fitzroyia lineata alternimaculata,ARG,Latin America & Caribbean
Fowlerina paraguayensis,ARG,Latin America & Caribbean
Fundulus paraguayensis,ARG,Latin America & Caribbean
Gastropelecus stellatus,ARG,Latin America & Caribbean
Geophagus balzanii,ARG,Latin America & Caribbean
Geophagus sveni,ARG,Latin America & Caribbean
Girardinus caudimaculatus,ARG,Latin America & Caribbean
Glandulocauda inequalis,ARG,Latin America & Caribbean
Glandulocauda terofali,ARG,Latin America & Caribbean
Glanidium ribeiroi,ARG,Latin America & Caribbean
Gymnocharacinus bergii,ARG,Latin America & Caribbean
Gymnogeophagus che,ARG,Latin America & Caribbean
Gymnogeophagus constellatus,ARG,Latin America & Caribbean
Gymnogeophagus jaryi,ARG,Latin America & Caribbean
Gymnogeophagus lipokarenos,ARG,Latin America & Caribbean
Gymnogeophagus meridionalis,ARG,Latin America & Caribbean
Gymnogeophagus taroba,ARG,Latin America & Caribbean
Gymnogeophagus terrapurpura,ARG,Latin America & Caribbean
Gymnorhamphichthys britskii,ARG,Latin America & Caribbean
Gymnotus carapo australis,ARG,Latin America & Caribbean
Gymnotus cuia,ARG,Latin America & Caribbean
Gymnotus omarorum,ARG,Latin America & Caribbean
Gymnotus pantanal,ARG,Latin America & Caribbean
Gyrinurus batrachostoma,ARG,Latin America & Caribbean
Haplochilus balzanii,ARG,Latin America & Caribbean
Hemiancistrus fuliginosus,ARG,Latin America & Caribbean
Hemidoras paraguayensis,ARG,Latin America & Caribbean
Hemigrammus anisitsi,ARG,Latin America & Caribbean
Hemigrammus kennedyi,ARG,Latin America & Caribbean
Hemigrammus mahnerti,ARG,Latin America & Caribbean
Hemigrammus tridens,ARG,Latin America & Caribbean
Hemiodus orthonops,ARG,Latin America & Caribbean
Heptapterus mandimbusu,ARG,Latin America & Caribbean
Heptapterus mbya,ARG,Latin America & Caribbean
Heptapterus qenqo,ARG,Latin America & Caribbean
Heterogramma borellii,ARG,Latin America & Caribbean
Heterogramma commbrae,ARG,Latin America & Caribbean
Hisonotus charrua,ARG,Latin America & Caribbean
Hisonotus hungy,ARG,Latin America & Caribbean
Homodiaetus anisitsi,ARG,Latin America & Caribbean
Hoplias argentinensis,ARG,Latin America & Caribbean
Hoplias australis,ARG,Latin America & Caribbean
Hoplias lacerdae,ARG,Latin America & Caribbean
Hoplias mbigua,ARG,Latin America & Caribbean
Hoplias misionera,ARG,Latin America & Caribbean
Hydrocynus brasiliensis,ARG,Latin America & Caribbean
Hydrocynus lucius,ARG,Latin America & Caribbean
Hydrocyon argenteum,ARG,Latin America & Caribbean
Hydrocyon humeralis,ARG,Latin America & Caribbean
Hyphessobrycon auca,ARG,Latin America & Caribbean
Hyphessobrycon bifasciatus,ARG,Latin America & Caribbean
Hyphessobrycon elachys,ARG,Latin America & Caribbean
Hyphessobrycon guarani,ARG,Latin America & Caribbean
Hyphessobrycon igneus,ARG,Latin America & Caribbean
Hyphessobrycon isiri,ARG,Latin America & Caribbean
Hyphessobrycon melanopleurus uruguayensis,ARG,Latin America & Caribbean
Hyphessobrycon meridionalis,ARG,Latin America & Caribbean
Hyphessobrycon nicolasi,ARG,Latin America & Caribbean
Hyphessobrycon reticulatus,ARG,Latin America & Caribbean
Hyphessobrycon togoi,ARG,Latin America & Caribbean
Hyphessobrycon wajat,ARG,Latin America & Caribbean
Hypobrycon maromba,ARG,Latin America & Caribbean
Hypobrycon poi,ARG,Latin America & Caribbean
Hypophthalmus oremaculatus,ARG,Latin America & Caribbean
Hypostomus alatus,ARG,Latin America & Caribbean
Hypostomus arecuta,ARG,Latin America & Caribbean
Hypostomus cochliodon,ARG,Latin America & Caribbean
Hypostomus formosae,ARG,Latin America & Caribbean
Hypostomus isbrueckeri,ARG,Latin America & Caribbean
Hypostomus latifrons,ARG,Latin America & Caribbean
Hypostomus microstomus,ARG,Latin America & Caribbean
Hypostomus multiradiatus,ARG,Latin America & Caribbean
Hypostomus paranensis,ARG,Latin America & Caribbean
Hypostomus piratatu,ARG,Latin America & Caribbean
Hypostomus roseopunctatus,ARG,Latin America & Caribbean
Hypostomus uruguayensis,ARG,Latin America & Caribbean
Iheringichthys megalops,ARG,Latin America & Caribbean
Imparfinis hollandi,ARG,Latin America & Caribbean
Imparfinis mishky,ARG,Latin America & Caribbean
Imparfinis tenebrosus,ARG,Latin America & Caribbean
Jenynsia luxata,ARG,Latin America & Caribbean
Jenynsia maculata,ARG,Latin America & Caribbean
Jenynsia sulfurica,ARG,Latin America & Caribbean
Jenynsia tucumana,ARG,Latin America & Caribbean
Lebias lineata,ARG,Latin America & Caribbean
Lepidosiren paradoxa,ARG,Latin America & Caribbean
Leporinus amae,ARG,Latin America & Caribbean
Leporinus hypselonotus,ARG,Latin America & Caribbean
Leporinus lacustris,ARG,Latin America & Caribbean
Leporinus macrocephalus,ARG,Latin America & Caribbean
Leporinus octofasciatus,ARG,Latin America & Caribbean
Leporinus piavussu,ARG,Latin America & Caribbean
Leporinus pictus,ARG,Latin America & Caribbean
Leporinus striatus,ARG,Latin America & Caribbean
Loricaria anus,ARG,Latin America & Caribbean
Loricaria apeltogaster,ARG,Latin America & Caribbean
Loricaria barbata,ARG,Latin America & Caribbean
Loricaria catamarcensis,ARG,Latin America & Caribbean
Loricaria commersonoides,ARG,Latin America & Caribbean
Loricaria devincenzii,ARG,Latin America & Caribbean
Loricaria evansii,ARG,Latin America & Caribbean
Loricaria felipponei,ARG,Latin America & Caribbean
Loricaria holmbergi,ARG,Latin America & Caribbean
Loricaria labialis,ARG,Latin America & Caribbean
Loricaria lanceolata,ARG,Latin America & Caribbean
Loricaria laticeps,ARG,Latin America & Caribbean
Loricaria lima,ARG,Latin America & Caribbean
Loricaria macrops,ARG,Latin America & Caribbean
Loricaria microlepidogaster,ARG,Latin America & Caribbean
Loricaria nudiventris,ARG,Latin America & Caribbean
Loricaria pareiacantha,ARG,Latin America & Caribbean
Loricaria parva,ARG,Latin America & Caribbean
Loricaria phoxocephala,ARG,Latin America & Caribbean
Loricaria simillima,ARG,Latin America & Caribbean
Loricaria steinbachi,ARG,Latin America & Caribbean
Loricaria thrissoceps,ARG,Latin America & Caribbean
